station,valid,drct,sknt
ARB,2025-09-06 06:53,0.00,0.00
ARB,2025-09-06 07:53,0.00,0.00
ARB,2025-09-06 08:53,0.00,0.00
ARB,2025-09-06 09:53,220.00,3.00
ARB,2025-09-06 10:53,230.00,3.00
ARB,2025-09-06 11:07,0.00,0.00
ARB,2025-09-06 11:15,0.00,0.00
ARB,2025-09-06 11:27,0.00,0.00
ARB,2025-09-06 11:49,0.00,0.00
ARB,2025-09-06 11:51,0.00,0.00
ARB,2025-09-06 11:53,0.00,0.00
ARB,2025-09-06 12:53,230.00,4.00
ARB,2025-09-06 13:53,270.00,10.00
ARB,2025-09-06 14:53,250.00,9.00
ARB,2025-09-06 15:53,280.00,8.00
ARB,2025-09-06 16:53,280.00,10.00
ARB,2025-09-06 17:53,260.00,18.00
ARB,2025-09-06 18:53,260.00,13.00
ARB,2025-09-06 19:53,250.00,9.00
ARB,2025-09-06 20:53,260.00,11.00
ARB,2025-09-06 21:53,270.00,11.00
ARB,2025-09-06 22:53,280.00,6.00
ARB,2025-09-06 23:53,290.00,8.00
ARB,2025-09-07 00:53,300.00,6.00
ARB,2025-09-07 01:53,280.00,3.00
ARB,2025-09-07 02:53,0.00,0.00
ARB,2025-09-07 03:53,0.00,0.00
ARB,2025-09-07 04:53,250.00,4.00
ARB,2025-09-07 05:53,240.00,4.00
ARB,2025-09-07 06:53,250.00,4.00
ARB,2025-09-07 07:53,0.00,0.00
ARB,2025-09-07 08:53,260.00,3.00
ARB,2025-09-07 09:09,0.00,0.00
ARB,2025-09-07 09:44,0.00,0.00
ARB,2025-09-07 09:50,0.00,0.00
ARB,2025-09-07 09:51,0.00,0.00
ARB,2025-09-07 10:17,0.00,0.00
ARB,2025-09-07 10:37,0.00,0.00
ARB,2025-09-07 10:45,0.00,0.00
ARB,2025-09-07 10:53,0.00,0.00
ARB,2025-09-07 10:56,0.00,0.00
ARB,2025-09-07 10:58,0.00,0.00
ARB,2025-09-07 11:07,0.00,0.00
ARB,2025-09-07 11:26,0.00,0.00
ARB,2025-09-07 11:53,0.00,0.00
ARB,2025-09-07 12:53,0.00,0.00
ARB,2025-09-07 13:53,280.00,5.00
ARB,2025-09-07 14:53,250.00,5.00
ARB,2025-09-07 15:53,250.00,9.00
ARB,2025-09-07 16:53,M,6.00
ARB,2025-09-07 17:53,260.00,11.00
ARB,2025-09-07 18:53,290.00,8.00
ARB,2025-09-07 19:53,300.00,9.00
ARB,2025-09-07 20:53,280.00,6.00
ARB,2025-09-07 21:53,300.00,11.00
ARB,2025-09-07 22:53,270.00,9.00
ARB,2025-09-07 23:53,320.00,5.00
